Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
117,Saturday Aug 10,boxscore,NYM,@,SEA,L,0,4,,61-56,3,8.0,Gilbert,Manaea,,2:28,N,31407,1.20,--,
118,Sunday Aug 11,boxscore,NYM,@,SEA,L,1,12,,61-57,3,8.0,Castillo,Severino,,2:41,D,35460,1.09,---,
119,Tuesday Aug 13,boxscore,NYM,,OAK,L,4,9,,61-58,3,8.0,Adams,Blackburn,,3:00,N,31923,1.05,----,
120,Wednesday Aug 14,boxscore,NYM,,OAK,W,9,1,,62-58,3,8.0,Peterson,Estes,,2:29,N,28288,0.92,+,
121,Thursday Aug 15,boxscore,NYM,,OAK,L,6,7,,62-59,3,9.0,Ferguson,Garrett,Miller,3:45,D,28461,0.95,-,
122,Friday Aug 16,boxscore,NYM,,MIA,W,7,3,,63-59,3,9.0,Manaea,Muñoz,,2:41,N,32311,0.86,+,
123,Saturday Aug 17,boxscore,NYM,,MIA,W,4,0,,64-59,3,9.0,Severino,Meyer,,2:26,D,34744,0.96,++,
124,Sunday Aug 18,boxscore,NYM,,MIA,L,2,3,,64-60,3,9.0,Nardi,Garrett,Faucher,3:06,D,30596,0.99,-,
125,Monday Aug 19,boxscore,NYM,,BAL,W-wo,4,3,,65-60,3,8.5,Díaz,Domínguez,,2:22,N,26874,0.96,+,
126,Tuesday Aug 20,boxscore,NYM,,BAL,L,5,9,,65-61,3,8.5,Kremer,Quintana,,2:49,N,34225,0.98,-,
127,Wednesday Aug 21,boxscore,NYM,,BAL,W-wo,4,3,,66-61,3,8.5,Díaz,Domínguez,,2:30,D,32871,0.79,+,
128,Thursday Aug 22,boxscore,NYM,@,SDP,W,8,3,,67-61,3,7.5,Severino,Cease,,2:57,N,41673,1.07,++,
129,Friday Aug 23,boxscore,NYM,@,SDP,L,0,7,,67-62,3,7.5,Musgrove,Blackburn,,2:34,N,40556,1.22,-,
130,Saturday Aug 24,boxscore,NYM,@,SDP,W,7,1,,68-62,3,7.5,Peterson,King,,2:25,N,42284,1.07,+,
131,Sunday Aug 25,boxscore,NYM,@,SDP,L-wo,2,3,,68-63,3,8.5,Suarez,Díaz,,2:46,D,41870,1.22,-,
132,Tuesday Aug 27,boxscore,NYM,@,ARI,W,8,3,,69-63,3,9.0,Manaea,Pfaadt,,2:51,N,22575,0.89,+,
133,Wednesday Aug 28,boxscore,NYM,@,ARI,L,5,8,,69-64,3,9.0,Thompson,Díaz,Martinez,2:38,N,27059,0.99,-,
