Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
67,Sunday Jun 9,boxscore,NYY,,LAD,W,6,4,,46-21,1,up 2.5,Ferguson,Glasnow,Holmes,2:44,N,48023,0.86,+,
68,Monday Jun 10,boxscore,NYY,@,KCR,W,4,2,,47-21,1,up 2.5,Rodón,Lugo,Tonkin,2:22,N,24038,0.88,++,
69,Tuesday Jun 11,boxscore,NYY,@,KCR,W,10,1,,48-21,1,up 2.5,Stroman,Singer,,2:38,N,22437,0.79,+++,
70,Wednesday Jun 12,boxscore,NYY,@,KCR,W,11,5,,49-21,1,up 2.5,Poteet,Altavilla,,2:46,N,25132,0.77,++++,
71,Thursday Jun 13,boxscore,NYY,@,KCR,L-wo,3,4,,49-22,1,up 2.5,McArthur,Holmes,,2:33,D,21875,0.73,-,
72,Friday Jun 14,boxscore,NYY,@,BOS,W,8,1,,50-22,1,up 3.5,Gil,Bello,,3:02,N,35024,0.78,+,
73,Saturday Jun 15,boxscore,NYY,@,BOS,L,4,8,,50-23,1,up 2.5,Slaten,Rodón,Jansen,3:08,N,36673,0.77,-,
74,Sunday Jun 16,boxscore,NYY,@,BOS,L,3,9,,50-24,1,up 1.5,Crawford,Stroman,,3:06,N,36718,0.82,--,
75,Tuesday Jun 18,boxscore,NYY,,BAL,W,4,2,,51-24,1,up 2.5,Cortés,Suárez,,2:53,N,47429,1.36,+,
76,Wednesday Jun 19,boxscore,NYY,,BAL,L,6,7,10,51-25,1,up 1.5,Kimbrel,Holmes,Tate,3:40,N,47155,1.31,-,
77,Thursday Jun 20,boxscore,NYY,,BAL,L,5,17,,51-26,1,up 0.5,Baker,Gil,,3:00,D,45456,1.35,--,
78,Friday Jun 21,boxscore,NYY,,ATL,L,1,8,,51-27,1,up 0.5,Sale,Rodón,,2:57,N,45226,0.86,---,
79,Saturday Jun 22,boxscore,NYY,,ATL,W,8,3,,52-27,1,up 1.5,Stroman,Morton,,2:36,N,45056,0.89,+,
80,Sunday Jun 23,boxscore,NYY,,ATL,L,1,3,,52-28,1,up 1.5,Fried,Cortés,Iglesias,2:14,D,46683,0.89,-,
81,Tuesday Jun 25,boxscore,NYY,@,NYM,L,7,9,,52-29,1,up 2.0,Núñez,Cole,,3:05,N,42824,0.93,--,
82,Wednesday Jun 26,boxscore,NYY,@,NYM,L,2,12,,52-30,1,up 1.0,Manaea,Gil,Houser,3:05,N,43004,0.94,---,
83,Thursday Jun 27,boxscore,NYY,@,TOR,L,2,9,,52-31,1,Tied,Berríos,Rodón,,2:32,N,36423,0.95,----,
84,Friday Jun 28,boxscore,NYY,@,TOR,W,16,5,,53-31,1,Tied,Tonkin,Kikuchi,,3:08,N,34791,1.04,+,
85,Saturday Jun 29,boxscore,NYY,@,TOR,L,3,9,,53-32,2,1.0,Bassitt,Cortés,,2:51,D,37448,0.99,-,
86,Sunday Jun 30,boxscore,NYY,@,TOR,W,8,1,,54-32,1,Tied,Cole,Gausman,,2:54,D,38534,1.01,+,
87,Tuesday Jul 2,boxscore,NYY,,CIN,L,4,5,,54-33,2,1.0,Ashcraft,Gil,Díaz,2:43,N,41219,1.00,-,
88,Wednesday Jul 3,boxscore,NYY,,CIN,L,2,3,,54-34,2,2.0,Abbott,Rodón,Díaz,2:37,N,47646,1.02,--,
89,Thursday Jul 4,boxscore,NYY,,CIN,L,4,8,,54-35,2,2.0,Montas,Stroman,,2:56,D,43154,1.03,---,
90,Friday Jul 5,boxscore,NYY,,BOS,L,3,5,10,54-36,2,3.0,Slaten,Kahnle,Jansen,2:49,N,47158,1.24,----,
91,Saturday Jul 6,boxscore,NYY,,BOS,W,14,4,,55-36,2,2.0,Hill,Bernardino,,2:57,D,45504,1.21,+,
92,Sunday Jul 7,boxscore,NYY,,BOS,L,0,3,,55-37,2,3.0,Crawford,Gil,Jansen,2:23,N,45250,1.19,-,
93,Tuesday Jul 9,boxscore,NYY,@,TBR,L,3,5,,55-38,2,3.0,Pepiot,Rodón,Fairbanks,2:34,N,20436,1.16,--,
94,Wednesday Jul 10,boxscore,NYY,@,TBR,W,2,1,,56-38,2,2.0,Hill,Eflin,Holmes,2:49,N,19246,1.21,+,
95,Thursday Jul 11,boxscore,NYY,@,TBR,L,4,5,,56-39,2,2.0,Kelly,Cortés,Fairbanks,2:57,N,23438,1.18,-,
96,Friday Jul 12,boxscore,NYY,@,BAL,W,4,1,,57-39,2,1.0,Cole,Povich,Holmes,3:02,N,39566,1.75,+,
97,Saturday Jul 13,boxscore,NYY,@,BAL,W,6,1,,58-39,1,Tied,Gil,Rodriguez,,2:35,D,44018,1.79,++,
98,Sunday Jul 14,boxscore,NYY,@,BAL,L-wo,5,6,,58-40,2,1.0,Kimbrel,Holmes,,3:21,D,39031,1.82,-,
99,Friday Jul 19,boxscore,NYY,,TBR,W,6,1,,59-40,2,1.0,Cole,Eflin,,2:39,N,47036,1.32,+,
100,Saturday Jul 20,boxscore,NYY,,TBR,L,1,9,,59-41,2,2.0,Bradley,Cortés,,2:40,D,43173,1.26,-,
101,Sunday Jul 21,boxscore,NYY,,TBR,L,4,6,,59-42,2,2.0,Cleavinger,Stroman,Fairbanks,3:01,D,45178,1.28,--,
102,Monday Jul 22,boxscore,NYY,,TBR,W,9,1,,60-42,2,1.5,Rodón,Littell,,2:41,D,40824,1.33,+,
103,Tuesday Jul 23,boxscore,NYY,,NYM,L,2,3,,60-43,2,1.5,Quintana,Tonkin,Diekman,3:13,N,47453,1.27,-,
104,Wednesday Jul 24,boxscore,NYY,,NYM,L,3,12,,60-44,2,1.5,Ottavino,Cole,,3:18,N,48760,1.26,--,
105,Friday Jul 26,boxscore,NYY,@,BOS,L,7,9,,60-45,2,2.0,Horn,Weaver,Jansen,3:08,N,36661,1.47,---,
106,Saturday Jul 27,boxscore,NYY,@,BOS,W,11,8,10,61-45,2,1.0,Holmes,Anderson,,3:38,N,36711,1.60,+,
107,Sunday Jul 28,boxscore,NYY,@,BOS,W,8,2,,62-45,2,1.0,Rodón,Houck,,2:59,N,36410,1.54,++,
108,Monday Jul 29,boxscore,NYY,@,PHI,W,14,4,,63-45,2,0.5,Gil,Wheeler,,2:52,N,44289,1.35,+++,
109,Tuesday Jul 30,boxscore,NYY,@,PHI,W,7,6,12,64-45,2,0.5,Tonkin,Kerkering,,3:51,N,44502,1.28,++++,
110,Wednesday Jul 31,boxscore,NYY,@,PHI,W,6,5,,65-45,2,0.5,Cortés,Sánchez,Holmes,2:45,D,44543,1.22,+++++,
111,Friday Aug 2,boxscore,NYY,,TOR,L,5,8,,65-46,1,Tied,Little,Stroman,Green,3:04,N,44883,1.29,-,
112,Saturday Aug 3,boxscore,NYY,,TOR,W,8,3,,66-46,1,Tied,Rodón,Berríos,Holmes,2:51,D,40218,1.35,+,
113,Sunday Aug 4,boxscore,NYY,,TOR,W-wo,4,3,10,67-46,1,Tied,Leiter,Francis,,3:36,D,44237,1.27,++,
114,Wednesday Aug 7 (1),boxscore,NYY,,LAA,W,5,2,,68-46,1,Tied,Gil,Daniel,Holmes,2:50,N,,1.28,+++,
115,Wednesday Aug 7 (2),boxscore,NYY,,LAA,L,2,8,,68-47,1,Tied,Strickland,Warren,,2:44,N,40744,1.21,-,
116,Thursday Aug 8,boxscore,NYY,,LAA,L,4,9,,68-48,1,Tied,Anderson,Cortés,,2:58,N,40681,1.25,--,
117,Saturday Aug 10 (1),boxscore,NYY,,TEX,W,8,0,,69-48,2,1.0,Rodón,Eovaldi,,2:57,D,,1.25,+,
118,Saturday Aug 10 (2),boxscore,NYY,,TEX,L,4,9,,69-49,2,1.0,Bradford,Weaver,,2:47,D,41996,1.22,-,
119,Sunday Aug 11,boxscore,NYY,,TEX,W,8,7,,70-49,1,Tied,Stroman,Heaney,Holmes,3:15,D,45318,1.26,+,
120,Monday Aug 12,boxscore,NYY,@,CHW,L,2,12,,70-50,2,0.5,Toussaint,Gil,,3:00,N,22815,1.27,-,
121,Tuesday Aug 13,boxscore,NYY,@,CHW,W,4,1,,71-50,1,up 0.5,Cortés,Cannon,Cousins,2:40,N,21199,1.25,+,
122,Wednesday Aug 14,boxscore,NYY,@,CHW,W,10,2,,72-50,1,up 0.5,Hill,Leone,Tonkin,2:59,N,22675,1.31,++,
123,Friday Aug 16,boxscore,NYY,@,DET,W,3,0,,73-50,1,up 1.0,Cole,Brieske,Holmes,2:27,N,36244,1.22,+++,
124,Saturday Aug 17,boxscore,NYY,@,DET,L,0,4,,73-51,1,up 1.0,Montero,Rodón,,2:39,D,38110,1.21,-,
125,Sunday Aug 18,boxscore,NYY,@,DET,L-wo,2,3,10,73-52,1,Tied,Brieske,Leiter,,2:42,N,2532,1.31,--,
126,Tuesday Aug 20,boxscore,NYY,,CLE,L,5,9,12,73-53,2,0.5,Herrin,Mayza,,4:05,N,41426,1.38,---,
