latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.738136,-74.04254,51.0,-14400,America/New_York,EDT

time,temperature_2m (°F),relative_humidity_2m (%),apparent_temperature (°F),precipitation (inch),weather_code (wmo code)
2024-01-10T03:00,56.0,90,45.9,0.016,51
2024-01-10T04:00,56.4,90,50.3,0.000,3
2024-01-10T05:00,54.7,92,48.7,0.004,51
2024-01-10T06:00,51.1,86,43.0,0.000,0
2024-01-10T07:00,47.1,81,38.9,0.000,0
2024-01-10T08:00,44.5,75,35.8,0.000,2
2024-01-10T09:00,46.8,77,39.0,0.000,2
2024-01-10T10:00,47.1,70,37.2,0.000,3
2024-01-10T11:00,47.2,62,36.8,0.000,1
2024-01-10T12:00,47.8,55,34.8,0.000,1
2024-01-10T13:00,48.3,47,35.5,0.000,1
2024-01-10T14:00,49.0,44,34.5,0.000,2
2024-01-10T15:00,47.4,44,32.6,0.000,3
2024-01-10T16:00,47.0,46,34.1,0.000,3
2024-01-10T17:00,46.1,48,33.7,0.000,3
2024-01-10T18:00,43.8,51,32.9,0.000,2
2024-01-10T19:00,42.8,53,32.3,0.000,2
2024-01-10T20:00,41.7,56,31.6,0.000,1
2024-01-10T21:00,43.8,51,34.8,0.000,0
2024-01-10T22:00,41.6,63,33.6,0.000,2
2024-01-10T23:00,41.0,71,32.8,0.000,0
2024-01-11T00:00,40.9,67,31.6,0.000,1
2024-01-11T01:00,39.3,61,29.5,0.000,1
2024-01-11T02:00,38.4,64,29.6,0.000,1
2024-01-11T03:00,37.0,72,29.3,0.000,0
2024-01-11T04:00,35.6,78,28.6,0.000,2
2024-01-11T05:00,35.3,74,27.6,0.000,0
2024-01-11T06:00,33.8,74,26.1,0.000,0
2024-01-11T07:00,32.6,77,24.8,0.000,0
2024-01-11T08:00,31.7,80,23.9,0.000,0
2024-01-11T09:00,36.5,66,28.3,0.000,0
2024-01-11T10:00,38.9,63,30.9,0.000,0
2024-01-11T11:00,41.6,57,33.3,0.000,0
2024-01-11T12:00,43.6,50,34.4,0.000,0
2024-01-11T13:00,45.4,44,34.7,0.000,3
2024-01-11T14:00,45.8,44,35.1,0.000,0
2024-01-11T15:00,46.0,45,36.5,0.000,0
2024-01-11T16:00,46.3,46,37.5,0.000,0
2024-01-11T17:00,45.0,51,37.3,0.000,0
2024-01-11T18:00,40.2,62,33.6,0.000,0
2024-01-11T19:00,38.7,68,31.8,0.000,1
2024-01-11T20:00,40.1,65,31.7,0.000,2
2024-01-11T21:00,40.5,63,32.2,0.000,2
2024-01-11T22:00,40.6,62,33.1,0.000,1
2024-01-11T23:00,39.0,69,32.6,0.000,1
2024-01-12T00:00,37.2,74,29.8,0.000,0
2024-01-12T01:00,36.1,78,28.7,0.000,0
2024-01-12T02:00,35.3,82,28.2,0.000,0
2024-01-12T03:00,34.3,84,27.4,0.000,0
2024-01-12T04:00,33.8,83,26.9,0.000,0
2024-01-12T05:00,32.3,85,25.7,0.000,0
2024-01-12T06:00,30.8,87,24.3,0.000,0
2024-01-12T07:00,29.5,89,22.8,0.000,0
2024-01-12T08:00,28.1,90,20.8,0.000,0
2024-01-12T09:00,32.1,88,26.5,0.000,1
2024-01-12T10:00,36.8,79,31.1,0.000,1
2024-01-12T11:00,41.4,69,36.2,0.000,1
2024-01-12T12:00,44.2,63,38.8,0.000,1
2024-01-12T13:00,45.5,58,40.3,0.000,1
2024-01-12T14:00,46.3,56,39.5,0.000,1
2024-01-12T15:00,46.3,51,37.7,0.000,1
2024-01-12T16:00,44.6,53,35.4,0.000,1
2024-01-12T17:00,42.5,68,34.5,0.000,1
2024-01-12T18:00,40.4,80,33.1,0.000,1
2024-01-12T19:00,41.2,82,33.7,0.000,3
2024-01-12T20:00,42.1,80,33.8,0.000,3
2024-01-12T21:00,42.8,81,34.0,0.000,3
2024-01-12T22:00,43.5,83,36.0,0.008,51
2024-01-12T23:00,43.7,87,35.9,0.024,53
2024-01-13T00:00,44.6,91,35.2,0.126,63
2024-01-13T01:00,46.3,92,36.3,0.071,61
2024-01-13T02:00,47.3,93,38.7,0.138,63
2024-01-13T03:00,50.1,92,41.5,0.268,63
2024-01-13T04:00,51.4,94,42.6,0.177,63
2024-01-13T05:00,52.5,92,44.6,0.063,61
2024-01-13T06:00,52.3,93,46.5,0.000,3
2024-01-13T07:00,51.5,95,47.7,0.024,53
